dealer_id,assigned_facility,latitude,longitude,demand
D0116,F04,36.89905,28.35251,82
D0117,F00,40.07597,40.09579,53
D0118,F01,38.94118,33.83772,56
D0119,F01,38.77898,35.0483,53
D0120,F10,37.70233,41.2157,62
D0121,F09,38.72134,43.0,37
D0122,F09,38.86985,42.59015,9
D0123,F06,39.90084,38.26709,37
D0124,F09,38.83736,42.76343,52
D0125,F02,40.13832,31.26174,25
D0126,F11,41.5,38.98314,37
D0127,F06,40.86728,36.55169,30
D0128,F12,39.6057,30.41303,63
D0129,F01,38.85794,34.73719,51
D0130,F06,39.22124,37.1328,50
D0131,F09,38.23157,41.69501,49
D0132,F06,40.1735,36.22246,39
D0133,F05,40.89565,39.31446,43
D0134,F02,41.11447,29.48687,22
D0135,F04,37.86967,28.09225,7
D0136,F03,39.45736,36.60464,42
D0137,F03,39.60998,35.86464,45
D0138,F08,37.24652,31.20315,58
D0139,F08,37.86557,32.54843,64
D0140,F07,39.88025,39.02358,64
D0141,F04,37.08296,29.38348,25
D0142,F12,40.53891,29.16708,35
D0143,F01,37.9511,33.84069,47
D0144,F04,36.5,29.12988,78
D0145,F01,38.50377,34.38712,62
D0146,F04,36.73663,28.38723,57
D0147,F12,40.085,30.1887,34
D0148,F04,37.07964,28.23554,27
D0149,F11,40.33509,39.95959,52
D0150,F06,40.53763,36.58046,23
D0151,F09,38.49204,43.0,36
D0152,F05,41.5,39.34965,38
D0153,F03,39.70443,36.0868,64
D0154,F09,38.46545,42.64735,35
D0155,F12,39.96284,29.71363,5
D0156,F03,40.33016,35.85861,48
D0157,F10,38.55563,40.88529,30
D0158,F03,39.22832,35.17675,41
D0159,F09,38.99405,42.30132,39
D0160,F10,37.88855,40.57235,36
D0161,F05,41.48398,40.45192,52
D0162,F09,38.11125,41.78361,17
D0163,F03,40.18768,36.33615,32
D0164,F01,38.33142,33.32667,50
D0165,F01,38.1172,33.72654,31
D0166,F05,41.5,39.83611,16
D0167,F11,41.24256,40.31549,50
D0168,F01,38.4181,34.30932,57
D0169,F05,41.5,40.10447,39
D0170,F09,38.55364,42.85534,11
D0171,F02,40.80744,29.26614,51
D0172,F09,38.87294,42.50313,15
D0173,F03,39.70799,37.17174,45
D0174,F10,38.566,41.37597,27
D0175,F07,40.19027,39.17354,23
D0176,F07,40.24508,39.48568,33
D0177,F02,41.40618,31.21796,37
D0178,F06,39.83744,35.80828,30
D0179,F11,40.04807,38.36063,49
D0180,F00,41.0947,40.30088,33
D0181,F09,39.89913,42.0665,55
D0182,F06,40.12333,37.95945,44
D0183,F09,37.88035,42.32631,30
D0184,F08,37.00085,31.41498,27
D0185,F05,41.24931,39.41789,15
D0186,F04,36.88542,27.0,44
D0187,F08,36.63955,32.52024,35
D0188,F01,38.95519,33.97218,5
D0189,F07,40.66635,38.8535,32
D0190,F01,38.02191,34.7959,26
D0191,F08,37.45521,33.45146,64
D0192,F08,38.06428,32.56167,14
D0193,F01,38.77177,32.70708,18
D0194,F09,38.60013,42.9324,57
D0195,F05,41.31421,40.60308,60
D0196,F10,38.63086,41.49104,29
D0197,F00,39.59098,40.80215,31
D0198,F02,40.86697,29.87868,49
D0199,F06,40.12999,38.41232,5
D0200,F02,41.5,30.01219,12
D0201,F04,36.89251,28.50807,36
D0202,F08,37.89112,31.57564,63
D0203,F01,38.19771,33.48996,33
D0204,F08,37.40484,33.65806,42
D0205,F01,38.83812,33.92505,57
D0206,F02,40.40192,31.18177,72
D0207,F07,40.51015,39.28342,31
D0208,F10,38.89962,41.22172,40
D0209,F02,40.64728,31.52232,67
D0210,F03,39.22546,35.71953,17
D0211,F12,39.71143,28.95674,55
D0212,F12,39.31324,29.59211,25
D0213,F07,40.27627,39.48767,42
D0214,F05,41.3414,40.49918,36
D0215,F04,36.5,27.00249,26
D0216,F07,39.70327,38.65858,25
D0217,F07,40.64725,38.75128,44
D0218,F03,39.75162,35.6358,55
D0219,F00,39.21565,39.26985,38
D0220,F01,39.04757,33.68619,41
D0221,F12,39.8419,29.64062,49
D0222,F05,41.05687,40.7436,25
D0223,F06,39.71313,37.63256,51
D0224,F06,40.68181,37.01185,52
D0225,F10,38.5112,41.03511,79
D0226,F00,41.44195,40.25514,34
D0227,F01,38.88347,33.56386,33
D0228,F03,40.16131,35.12792,52
D0229,F06,40.23058,36.49549,52
D0230,F08,37.50812,32.25979,32
D0231,F06,40.58699,36.35037,34
D0232,F05,41.5,40.34744,48
D0233,F12,39.48473,30.58854,28
D0234,F02,40.59706,29.60421,34
D0235,F07,40.21472,39.14573,41
D0236,F07,40.78618,38.98644,55
D0237,F06,40.97997,37.32861,31
D0238,F10,38.14751,41.28153,12
D0239,F03,39.79569,34.92852,11
D0240,F12,39.86066,29.29367,21
D0241,F04,36.8603,28.04021,20
D0242,F07,40.85874,39.79811,38
D0243,F06,39.2924,35.66741,22
D0244,F11,40.7618,39.67886,29
D0245,F05,41.02602,41.01535,28
D0246,F03,38.94268,35.77389,33
D0247,F00,39.93614,40.52182,60
D0248,F04,36.55907,27.56409,50
D0249,F10,38.26349,41.21235,40
D0250,F00,40.87061,39.1106,33
D0251,F11,41.02354,37.93032,34
D0252,F07,39.96645,39.7422,45
D0253,F01,38.66876,33.45438,49
D0254,F03,40.45897,35.57727,26
D0255,F07,39.99114,38.22821,41
D0256,F04,36.56113,27.1046,10
D0257,F01,38.94574,33.98164,43
D0258,F08,37.04088,32.19819,51
D0259,F08,37.43194,32.9181,36
D0260,F01,38.68825,34.38878,67
D0261,F03,40.30259,36.08191,27
D0262,F03,39.52105,36.02845,43
D0263,F08,37.13513,33.69797,39
D0264,F09,38.65712,41.83723,38
D0265,F09,38.20478,42.49546,38
D0266,F12,39.01576,30.85047,42
D0267,F09,39.06052,43.0,53
D0268,F04,36.81296,27.09693,61
D0269,F01,38.23436,33.8916,40
D0270,F07,40.38704,40.01218,52
D0271,F11,41.5,39.78439,29
D0272,F12,38.693,30.24114,51
D0273,F02,40.1195,30.49432,29
D0274,F03,39.57154,35.62389,56
D0275,F00,41.02731,40.35153,73
D0276,F01,38.82155,33.93059,38
D0277,F07,40.77561,39.10172,7
D0278,F07,39.91725,39.18049,32
D0279,F04,36.5,27.58033,58
D0280,F04,37.17241,28.36696,48
D0281,F10,38.38021,43.0,44
D0282,F05,41.5,39.08706,55
D0283,F10,38.26954,41.50055,47
D0284,F12,39.84449,29.6201,58
D0285,F04,37.04204,28.39639,54
D0286,F02,41.14299,30.66608,63
D0287,F12,40.08248,30.60943,45
D0288,F08,36.5,33.4365,54
D0289,F03,38.97557,35.99843,35
D0290,F08,37.59136,33.40825,31
D0291,F06,40.84018,35.58284,66
D0292,F11,40.67454,40.48793,43
D0293,F03,39.14991,36.11715,52
D0294,F12,39.7639,30.81482,42
D0295,F12,40.13821,29.3213,31
D0296,F02,41.5,30.09582,40
D0297,F02,41.02532,30.73068,62
D0298,F06,40.13843,37.09556,48
D0299,F00,39.96787,40.34818,14
D0300,F03,39.99199,36.57829,37
D0301,F05,41.24344,39.09471,67
D0302,F12,39.26255,30.7472,37
D0303,F12,40.64127,30.1196,13
D0304,F01,39.49772,33.96217,68
D0305,F11,41.5,38.49792,50
D0306,F01,38.28001,34.42161,39
D0307,F09,39.13669,40.962,34
D0308,F10,38.64182,41.7114,56
D0309,F11,41.33297,38.48427,32
D0310,F02,41.35534,30.67057,57
D0311,F11,41.41974,39.37668,48
D0312,F01,39.0274,34.85483,44
D0313,F06,40.59231,36.9905,42
D0314,F06,40.45906,36.65544,37
D0315,F04,36.5,27.69179,56
D0316,F00,40.40741,40.99156,27
D0317,F10,38.1037,41.63853,16
D0318,F04,36.5,27.77042,49
D0319,F08,37.89739,32.51873,49
D0320,F05,41.5,39.22343,47
D0321,F04,37.58254,28.27359,46
D0322,F11,41.24867,38.31026,35
D0323,F01,39.30217,34.5833,52
D0324,F09,38.75735,42.61477,39
D0325,F09,38.84319,43.0,33
D0326,F04,36.5,27.30599,35
D0327,F03,40.16549,35.80663,70
D0328,F00,40.39695,41.33308,14
D0329,F12,39.13314,30.88862,47
D0330,F12,39.69629,29.66168,15
D0331,F03,39.95096,36.01894,38
D0332,F00,41.17868,40.16549,33
D0333,F01,39.09679,34.2779,9
D0334,F00,40.37493,39.71005,46
D0335,F10,38.46594,41.23188,34
D0336,F11,41.15372,38.41541,9
D0337,F01,38.60308,34.18246,53
D0338,F09,38.26484,42.82368,62
D0339,F02,40.72502,30.488,62
D0340,F04,36.63515,27.0,45
D0341,F07,39.86768,39.77195,41
D0342,F09,38.98198,42.76811,60
D0343,F11,41.30989,38.98223,65
D0344,F00,39.56576,39.9818,57
D0345,F02,40.73778,29.66038,26
D0346,F03,40.43491,35.20684,43
D0347,F04,37.44754,27.6715,47
D0348,F12,40.18096,30.91269,13
D0349,F10,38.3715,40.87426,47
D0350,F04,36.59062,28.43722,74
D0351,F12,39.23167,29.76431,50
D0352,F06,40.46077,37.2678,62
D0353,F06,40.47638,37.01472,43
D0354,F05,41.5,40.80959,39
D0355,F01,39.18938,33.747,46
D0356,F12,39.65983,29.09208,28
D0357,F00,39.80989,39.26592,26
D0358,F02,40.64939,30.2901,59
D0359,F02,40.89074,29.82393,61
D0360,F03,39.8959,36.14,25
D0361,F01,38.43434,33.79188,55
D0362,F00,40.48358,41.70768,39
D0363,F08,36.91379,31.54291,45
D0364,F12,39.4367,30.24658,47
D0365,F01,38.83454,33.36146,55
D0366,F03,39.80594,35.55265,41
D0367,F06,40.41555,37.19855,61
D0368,F12,39.84227,28.60273,45
D0369,F09,38.23919,42.68511,49
D0370,F09,38.53537,43.0,28
D0371,F07,41.07732,38.83467,72
D0372,F05,40.85517,40.41098,47
D0373,F02,39.8405,31.30202,51
D0374,F11,40.29599,39.34757,16
D0375,F10,38.36709,40.91232,28
D0376,F00,40.38369,38.68496,59
D0377,F09,38.69901,42.94781,44
D0378,F01,39.24078,34.02107,11
D0379,F09,37.54915,41.87293,56
D0380,F10,38.53216,41.37223,32
D0381,F01,39.39704,33.71524,61
D0382,F05,40.87061,39.89862,39
D0383,F01,38.52348,34.48872,43
D0384,F07,40.09152,38.25945,58
D0385,F12,39.31687,30.79497,27
D0386,F01,38.54757,33.18613,25
D0387,F05,41.5,39.81134,37
D0388,F12,40.54615,31.36414,52
D0389,F03,39.83567,36.60614,20
D0390,F01,39.55167,34.15807,15
D0391,F06,40.32171,36.49529,52
D0392,F06,41.09486,36.7626,31
D0393,F08,37.09859,32.72005,34
D0394,F04,37.02987,28.04547,12
D0395,F12,39.88379,30.05515,30
D0396,F06,41.5,37.08659,40
D0397,F03,40.36992,35.73402,54
D0398,F12,39.40106,29.17693,28
D0399,F12,40.15538,29.77849,65
D0400,F06,40.14288,37.70114,30
D0401,F00,40.14939,39.27477,30
D0402,F07,40.83919,39.00619,63
D0403,F07,40.44431,38.59656,43
D0404,F01,38.81975,34.16701,32
D0405,F08,37.14686,32.41981,38
D0406,F10,38.50545,42.25025,60
D0407,F01,38.88562,34.42391,62
D0408,F09,37.88029,41.6785,28
D0409,F01,38.99435,34.53093,39
D0410,F09,38.31002,42.02765,41
D0411,F05,40.72908,39.86705,25
D0412,F00,40.34349,40.36817,39
D0413,F12,39.75712,29.79458,40
D0414,F02,40.48091,31.21618,57
D0415,F07,40.80428,38.62597,58
D0416,F02,40.18901,30.2335,35
D0417,F12,39.53621,29.68758,37
D0418,F09,38.48874,42.1635,50
D0419,F10,38.33303,42.00441,31
D0420,F05,41.5,40.65082,49
D0421,F06,39.85215,38.21809,39
D0422,F08,37.4665,34.14639,25
D0423,F10,38.38234,40.61997,26
D0424,F11,40.28244,39.49991,62
D0425,F00,39.48841,39.39966,38
D0426,F08,37.13503,32.16698,65
D0427,F01,38.59495,33.68508,32
D0428,F03,39.9403,35.18621,44
D0429,F10,38.3414,40.60621,76
D0430,F03,40.08834,35.77958,24
D0431,F10,38.78043,40.49907,12
D0432,F06,39.8057,37.65401,59
D0433,F03,39.45945,35.27682,28
D0434,F04,36.5,29.8473,40
D0435,F06,40.43571,36.81323,31
D0436,F09,39.31216,42.57798,44
D0437,F07,40.23622,38.28743,26
D0438,F12,38.59357,31.22318,37
D0439,F11,40.36702,40.18182,47
D0440,F09,38.37706,42.72417,25
D0441,F07,40.17934,38.25398,29
D0442,F03,39.80307,36.01029,35
D0443,F05,41.39547,39.51317,19
D0444,F01,38.5541,35.04516,34
D0445,F04,37.44309,28.54706,42
D0446,F12,39.41512,30.17626,34
D0447,F05,40.99007,38.65846,36
D0448,F01,38.90988,33.45541,40
D0449,F08,36.5,33.11946,30
D0450,F12,39.89469,30.90259,50
D0451,F11,41.17997,40.1751,62
D0452,F03,39.92049,34.83855,33
D0453,F05,41.5,40.43811,47
D0454,F06,40.02571,37.76671,36
D0455,F03,40.91397,34.79544,45
D0456,F03,39.8854,35.86822,63
D0457,F03,39.41218,36.05136,48
D0458,F12,39.75079,29.91872,13
D0459,F09,38.26762,41.32726,47
D0460,F10,38.0157,41.07824,58
D0461,F10,38.53265,41.07719,37
D0462,F12,39.96934,30.01797,55
D0463,F01,38.41441,33.72837,30
D0464,F11,41.5,39.16618,18
D0465,F00,40.89066,40.13838,42
D0466,F06,40.95204,37.39423,14
D0467,F07,40.66856,38.93152,36
D0468,F04,37.58443,27.75481,59
D0469,F01,37.84803,34.15466,11
D0470,F02,40.64993,29.38722,21
D0471,F10,37.96384,41.60001,25
D0472,F04,37.02454,28.02071,39
D0473,F04,36.71374,28.04688,35
D0474,F12,39.64456,30.7387,61
D0475,F01,39.54137,32.8253,54
D0476,F11,41.05745,38.17115,47
D0477,F11,41.32003,39.63211,42
D0478,F07,40.3258,39.12477,46
D0479,F02,40.82706,30.74644,27
D0480,F02,40.7957,30.33544,53
D0481,F03,40.18859,36.30519,23
D0482,F07,40.95471,39.73562,53
D0483,F01,39.43572,34.40922,58
D0484,F05,41.5,40.07256,43
D0485,F01,38.95969,32.72463,37
D0486,F07,39.91243,39.6294,46
D0487,F00,40.33024,40.95831,5
D0488,F09,39.17506,42.95013,45
D0489,F00,40.75947,39.59242,38
D0490,F02,40.88821,31.07379,39
D0491,F02,41.19187,31.19516,51
D0492,F10,38.57484,42.30317,39
D0493,F00,40.90992,39.59472,23
D0494,F05,41.5,40.0949,38
D0495,F07,40.27026,39.61513,41
D0496,F06,40.45683,37.14395,42
D0497,F08,36.5,31.94616,42
D0498,F10,38.52629,41.55944,56
D0499,F05,39.73632,40.61823,24
D0500,F10,37.57843,41.34712,43
D0501,F04,37.17419,28.16381,59
D0502,F12,39.93422,29.94606,14
D0503,F06,39.78261,38.06751,43
D0504,F09,38.43148,41.94572,31
D0505,F11,41.5,39.07238,34
D0506,F10,38.13618,41.29708,26
D0507,F11,41.5,40.02546,37
D0508,F06,40.30484,36.13334,68
D0509,F00,40.5534,39.3125,21
D0510,F06,41.03329,35.78211,22
D0511,F02,40.85195,30.65707,20
D0512,F11,40.68277,38.72724,66
D0513,F03,39.93746,35.6234,33
D0514,F02,40.77697,31.06572,40
D0515,F03,39.37271,35.45636,34
D0516,F08,37.02545,32.82275,26
D0517,F07,40.09633,38.93483,36
D0518,F12,40.13529,30.55109,77
D0519,F05,41.39369,40.55093,61
D0520,F03,39.85958,35.4236,27
D0521,F00,40.322,40.05457,50
D0522,F00,40.47018,40.84262,28
D0523,F04,37.24846,28.27677,13
D0524,F12,39.26946,29.20619,55
D0525,F06,39.83699,37.53278,57
D0526,F11,41.5,38.74914,56
D0527,F01,38.50884,35.01276,33
D0528,F01,38.05681,34.76029,37
D0529,F10,38.55371,41.47837,51
D0530,F01,38.90291,34.19683,46
D0531,F00,39.68096,40.02832,34
D0532,F05,41.48138,40.68314,16
D0533,F12,40.05034,29.87321,42
D0534,F08,37.30904,32.82554,56
D0535,F01,38.97878,34.66139,22
D0536,F10,37.72207,40.92477,50
D0537,F10,38.50296,40.88941,45
D0538,F10,38.21781,40.5136,51
D0539,F11,40.91656,38.76223,53
D0540,F03,40.37859,34.6849,30
D0541,F12,40.385,30.58861,16
D0542,F04,37.77836,29.19687,32
D0543,F10,38.94565,42.2164,53
D0544,F07,40.38094,38.07245,32
D0545,F10,38.51271,41.7611,30
D0546,F08,37.48564,33.59679,13
D0547,F08,37.1951,32.37549,66
D0548,F08,37.19941,32.73836,52
D0549,F10,38.72468,39.98481,52
D0550,F09,38.72525,42.70455,55
D0551,F01,38.36621,33.40332,49
D0552,F10,38.16748,41.4197,36
D0553,F06,40.59096,36.09185,38
D0554,F04,36.97224,28.37394,34
D0555,F06,40.45879,37.77256,80
D0556,F12,40.02087,29.60515,48
D0557,F11,40.96514,38.71514,33
D0558,F10,38.6943,39.88853,47
D0559,F06,40.47618,36.93346,25
D0560,F10,37.79832,40.9119,63
D0561,F05,41.5,39.23394,30
D0562,F08,36.91523,32.96688,48
D0563,F08,36.5,32.37994,56
D0564,F03,39.51657,35.17413,46
D0565,F03,39.52737,35.51289,41
D0566,F00,40.39326,40.86054,40
D0567,F01,38.57116,34.48654,39
D0568,F05,41.22654,40.15758,31
D0569,F06,40.58457,37.50905,33
D0570,F02,40.94593,29.88123,62
D0571,F05,41.5,40.26314,38
D0572,F07,40.61474,39.22516,28
D0573,F03,40.2641,35.56797,32
D0574,F04,36.5,28.30413,57
D0575,F04,36.80689,27.5138,50
D0576,F06,39.32461,37.43801,48
D0577,F04,36.98712,28.37979,36
D0578,F09,38.74985,40.63502,49
D0579,F04,37.44138,28.79478,30
D0580,F05,41.5,38.26114,36
D0581,F04,37.06214,27.62065,55
D0582,F02,40.56783,31.3023,53
D0583,F08,37.35889,32.46618,25
D0584,F03,39.74928,34.92034,27
D0585,F03,39.98621,35.16243,42
D0586,F10,38.79775,41.95743,66
D0587,F12,39.46833,28.86524,11
D0588,F08,37.50313,33.40626,44
D0589,F11,41.43865,39.41832,19
D0590,F11,40.70416,38.67908,30
D0591,F06,40.74395,36.72761,35
D0592,F10,38.66834,40.62874,34
D0593,F04,37.01676,28.58413,32
D0594,F05,41.03506,40.71818,40
D0595,F06,39.91906,35.98918,32
D0596,F12,39.47738,29.85189,18
D0597,F11,41.37799,38.89307,52
D0598,F06,39.87567,37.94741,51
D0599,F08,37.33745,31.79486,53
D0600,F02,40.2342,31.67857,17
D0601,F10,38.26216,41.2683,44
D0602,F07,40.47966,38.37414,50
D0603,F06,41.40601,36.6664,25
D0604,F09,38.13214,42.01012,40
D0605,F08,37.80298,31.84392,38
D0606,F00,40.43721,40.22583,68
D0607,F03,40.17187,35.07521,69
D0608,F02,40.84625,29.21858,15
D0609,F09,38.95206,42.28438,77
D0610,F00,40.30062,38.99233,26
D0611,F02,41.44731,30.14692,55
D0612,F07,40.22491,38.53848,55
D0613,F09,39.26144,41.96488,25
D0614,F06,40.01573,38.40726,47
D0615,F11,41.10671,39.49081,38
D0616,F11,40.65144,39.61363,48
D0617,F01,38.89915,32.93997,43
D0618,F12,40.36964,29.68914,58
D0619,F07,40.39551,39.26935,41
D0620,F08,37.05197,32.00648,37
D0621,F01,38.19281,34.68487,56
D0622,F08,37.03739,31.89067,49
D0623,F09,38.03517,42.34503,51
D0624,F07,40.01952,38.74847,30
D0625,F01,38.79644,34.20144,24
D0626,F06,40.89926,36.69031,31
D0627,F12,40.98347,29.93814,31
D0628,F09,38.48797,42.37769,52
D0629,F01,39.34028,33.61728,55
D0630,F12,39.82902,30.42953,38
D0631,F12,39.65127,30.26917,61
D0632,F02,40.98766,30.57822,61
D0633,F10,38.38185,41.01014,44
D0634,F05,41.42779,40.75985,28
D0635,F07,40.24657,38.97611,64
D0636,F05,40.74896,40.04275,39
D0637,F10,37.65936,41.35799,42
D0638,F12,40.01329,31.217,35
D0639,F10,38.22947,40.41871,27
D0640,F12,39.45109,30.61463,18
D0641,F12,39.72316,28.88366,49
D0642,F01,39.05211,34.23586,28
D0643,F03,40.068,36.89716,86
D0644,F09,38.45671,42.8488,24
D0645,F07,40.98215,39.24031,21
D0646,F00,41.08041,39.7999,48
D0647,F01,38.91694,34.11481,63
D0648,F06,40.74385,36.94279,41
D0649,F08,37.69945,32.16154,49
D0650,F02,41.30153,30.4474,12
D0651,F02,41.06933,30.76477,30
D0652,F01,38.96365,33.59594,24
D0653,F07,40.66417,38.60532,12
D0654,F00,39.87598,39.28003,42
D0655,F07,40.74565,39.38337,6
D0656,F06,39.69558,37.46109,20
D0657,F06,39.94813,37.25721,32
D0658,F08,37.72717,33.29978,28
D0659,F06,40.6838,37.16374,46
D0660,F09,39.42126,42.78598,45
D0661,F09,38.62968,42.72866,53
D0662,F11,40.61531,39.39464,51
D0663,F10,38.24579,40.94491,57
D0664,F06,40.35161,38.54583,40
D0665,F06,40.34124,36.81286,45
D0666,F03,40.497,35.44054,48
D0667,F07,40.26775,39.41151,42
D0668,F01,38.85281,34.25834,34
D0669,F12,39.27445,29.20111,35
D0670,F10,38.55663,42.01968,28
D0671,F01,38.69579,34.0334,46
D0672,F10,38.01657,40.56783,39
D0673,F01,38.58827,34.86734,30
D0674,F09,38.66905,42.93786,30
D0675,F01,38.57282,33.27268,22
D0676,F06,41.1028,38.2618,55
D0677,F08,37.09627,33.10064,41
D0678,F09,38.64218,42.52454,27
D0679,F05,40.43426,41.27574,52
D0680,F11,40.73143,39.55768,32
D0681,F10,38.23561,41.27169,19
D0682,F02,40.48436,30.20662,55
D0683,F08,37.76234,33.05062,32
D0684,F09,38.67771,42.84096,34
D0685,F04,37.55069,28.03062,41
D0686,F09,38.7797,42.01768,57
D0687,F11,41.15057,39.53859,40
D0688,F10,38.31403,41.24457,22
D0689,F09,38.75364,41.66441,48
D0690,F08,37.91403,31.71574,33
D0691,F03,38.94302,36.24071,68
D0692,F10,37.45329,39.59871,40
D0693,F04,36.72646,28.1546,6
D0694,F06,40.31224,36.79588,45
D0695,F04,37.28144,28.87144,69
D0696,F04,37.18378,27.70033,64
D0697,F02,40.62008,31.06448,67
D0698,F12,40.1779,29.85623,25
D0699,F01,39.15798,34.16857,54
D0700,F01,38.77722,34.57357,29
D0701,F12,40.15253,29.81356,43
D0702,F07,40.55301,39.77716,21
D0703,F05,41.12544,39.5962,30
D0704,F09,39.06595,42.72266,30
D0705,F04,37.02067,28.6208,53
D0706,F01,38.69499,34.52365,52
D0707,F09,39.41476,43.0,44
D0708,F02,39.6901,30.13958,20
D0709,F07,39.79236,38.23295,35
D0710,F12,39.18515,29.4679,29
D0711,F12,39.55586,30.54351,53
D0712,F04,36.85632,28.34473,58
D0713,F10,37.67569,41.35641,56
D0714,F07,39.987,38.39948,29
D0715,F06,39.91832,37.60509,5
D0716,F01,39.80023,33.29857,13
D0717,F04,37.78167,28.7744,61
D0718,F08,36.95528,34.52975,34
D0719,F12,39.55572,30.35241,29
D0720,F00,39.85264,40.54321,65
D0721,F09,37.89327,42.21081,59
D0722,F11,41.08122,38.2775,40
D0723,F12,39.2703,29.72245,36
D0724,F05,41.33993,39.53172,38
D0725,F01,37.9743,33.15408,43
D0726,F03,39.64395,36.99289,64
D0727,F11,41.2007,39.6315,46
D0728,F11,41.29861,39.70094,51
D0729,F08,37.32843,32.47156,58
D0730,F01,38.10017,33.98226,22
D0731,F01,39.079,34.72159,51
D0732,F06,39.9456,37.08561,36
D0733,F07,40.71511,39.47435,5
D0734,F00,40.36499,40.03679,8
D0735,F08,36.5212,32.45002,25
D0736,F07,40.28803,38.21491,48
D0737,F00,40.53419,38.87865,42
